# Total velocity (m/s),Mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
209.067,8.346,2.609,0.014,1593.063,1291.819
210.952,8.337,2.607,0.014,1593.695,1291.41
212.836,8.328,2.605,0.014,1594.274,1291
214.719,8.319,2.604,0.014,1594.868,1290.59
216.601,8.31,2.602,0.014,1595.476,1290.179
218.483,8.301,2.601,0.014,1596.102,1289.767
220.364,8.292,2.599,0.014,1596.746,1289.354
222.244,8.283,2.597,0.014,1597.41,1288.94
224.123,8.274,2.596,0.014,1598.092,1288.525
226.002,8.265,2.594,0.014,1598.796,1288.109
227.879,8.256,2.593,0.014,1599.519,1287.692
229.756,8.247,2.591,0.014,1600.263,1287.275
231.631,8.238,2.589,0.014,1601.027,1286.856
233.506,8.229,2.588,0.014,1601.809,1286.437
235.379,8.22,2.586,0.014,1602.609,1286.017
237.251,8.211,2.585,0.014,1603.425,1285.595
239.122,8.202,2.583,0.014,1604.255,1285.173
240.992,8.193,2.581,0.014,1605.097,1284.75
242.861,8.184,2.58,0.014,1605.919,1284.326
244.728,8.175,2.578,0.014,1606.676,1283.901
246.594,8.165,2.576,0.014,1607.447,1283.475
248.458,8.156,2.575,0.014,1608.234,1283.048
250.321,8.147,2.573,0.014,1609.039,1282.621
252.183,8.138,2.571,0.014,1609.864,1282.192
254.042,8.129,2.57,0.014,1610.71,1281.762
255.901,8.12,2.568,0.014,1611.577,1281.331
257.757,8.111,2.567,0.014,1612.465,1280.9
259.612,8.102,2.565,0.014,1613.375,1280.467
261.465,8.093,2.563,0.014,1614.304,1280.034
263.316,8.084,2.562,0.014,1615.253,1279.599
265.165,8.075,2.56,0.014,1616.22,1279.164
267.012,8.066,2.558,0.014,1617.2,1278.727
268.857,8.057,2.557,0.014,1618.195,1278.29
270.7,8.048,2.555,0.014,1619.123,1277.854
272.539,8.039,2.553,0.014,1620.047,1277.419
274.376,8.03,2.552,0.014,1620.988,1276.982
276.209,8.021,2.55,0.014,1621.949,1276.545
278.039,8.012,2.548,0.014,1622.929,1276.107
279.865,8.003,2.547,0.014,1623.931,1275.667
281.687,7.994,2.545,0.014,1624.956,1275.227
283.506,7.985,2.543,0.014,1626.003,1274.786
285.322,7.977,2.542,0.014,1627.072,1274.343
287.133,7.968,2.54,0.014,1628.16,1273.9
288.94,7.959,2.538,0.014,1629.267,1273.456
290.743,7.95,2.536,0.014,1630.389,1273.01
292.542,7.941,2.535,0.014,1631.494,1272.564
294.337,7.932,2.533,0.014,1632.559,1272.117
296.125,7.924,2.531,0.014,1633.639,1271.706
297.905,7.916,2.53,0.014,1634.737,1271.308
299.675,7.908,2.528,0.014,1635.854,1270.91
301.436,7.9,2.527,0.014,1636.99,1270.511
303.189,7.892,2.525,0.014,1638.139,1270.111
304.936,7.884,2.524,0.014,1639.293,1269.711
306.676,7.876,2.522,0.014,1640.449,1269.309
308.408,7.868,2.521,0.014,1641.603,1268.907
310.134,7.86,2.519,0.014,1642.75,1268.504
311.853,7.852,2.518,0.014,1643.877,1268.1
313.565,7.844,2.516,0.014,1644.924,1267.695
315.27,7.836,2.515,0.014,1645.956,1267.289
316.968,7.829,2.513,0.014,1646.976,1266.883
318.658,7.821,2.512,0.014,1647.984,1266.476
320.342,7.813,2.51,0.014,1648.98,1266.068
322.019,7.805,2.509,0.014,1649.962,1265.659
323.689,7.797,2.507,0.014,1650.928,1265.249
325.351,7.789,2.505,0.014,1651.875,1264.839
327.007,7.781,2.504,0.014,1652.799,1264.427
328.656,7.773,2.502,0.014,1653.685,1264.015
330.297,7.765,2.501,0.014,1654.488,1263.602
331.931,7.757,2.499,0.014,1655.264,1263.188
333.558,7.749,2.498,0.014,1656.018,1262.774
335.177,7.741,2.496,0.014,1656.748,1262.358
336.785,7.734,2.495,0.014,1657.454,1261.942
338.382,7.726,2.493,0.014,1658.136,1261.524
339.968,7.718,2.491,0.014,1658.792,1261.106
341.544,7.71,2.49,0.014,1659.419,1260.687
343.109,7.702,2.488,0.014,1660.013,1260.267
344.664,7.694,2.487,0.014,1660.522,1259.847
346.21,7.686,2.485,0.014,1660.994,1259.425
347.745,7.678,2.483,0.014,1661.436,1259.002
349.272,7.67,2.482,0.014,1661.852,1258.579
350.789,7.662,2.48,0.014,1662.244,1258.155
352.298,7.654,2.479,0.014,1662.609,1257.73
353.798,7.646,2.477,0.014,1662.947,1257.304
355.289,7.638,2.476,0.014,1663.254,1256.877
356.772,7.631,2.474,0.014,1663.523,1256.449
358.247,7.623,2.472,0.014,1663.713,1256.021
359.714,7.615,2.471,0.014,1663.873,1255.591
361.173,7.607,2.469,0.014,1664.005,1255.161
362.625,7.599,2.467,0.014,1664.11,1254.729
364.07,7.591,2.466,0.014,1664.19,1254.297
365.508,7.583,2.464,0.014,1664.243,1253.864
366.938,7.575,2.463,0.013,1664.268,1253.43
368.362,7.567,2.461,0.013,1664.261,1252.995
369.779,7.559,2.459,0.013,1664.178,1252.559
371.189,7.551,2.458,0.013,1664.061,1252.123
372.593,7.543,2.456,0.013,1663.913,1251.685
373.99,7.536,2.454,0.013,1663.74,1251.246
375.381,7.528,2.453,0.013,1663.539,1250.807
376.766,7.52,2.451,0.013,1663.311,1250.366
378.144,7.512,2.449,0.013,1663.052,1249.925
379.517,7.504,2.448,0.013,1662.761,1249.483
380.884,7.496,2.446,0.013,1662.409,1249.04
382.245,7.488,2.445,0.013,1662.012,1248.595
383.601,7.48,2.443,0.013,1661.586,1248.15
384.952,7.472,2.441,0.013,1661.132,1247.704
386.297,7.464,2.44,0.013,1660.648,1247.257
387.636,7.456,2.438,0.013,1660.134,1246.809
388.97,7.448,2.436,0.013,1659.591,1246.36
390.3,7.44,2.435,0.013,1659.012,1245.911
391.624,7.433,2.433,0.013,1658.369,1245.46
392.943,7.425,2.431,0.013,1657.689,1245.008
394.257,7.417,2.429,0.013,1656.977,1244.555
395.566,7.409,2.428,0.013,1656.236,1244.102
396.87,7.401,2.426,0.013,1655.464,1243.647
398.17,7.393,2.424,0.013,1654.66,1243.191
399.464,7.385,2.423,0.013,1653.822,1242.735
400.754,7.377,2.421,0.013,1652.947,1242.277
402.039,7.369,2.419,0.013,1652.011,1241.818
403.319,7.361,2.418,0.013,1651.036,1241.359
404.594,7.353,2.416,0.013,1650.03,1240.898
405.865,7.345,2.414,0.013,1648.992,1240.437
407.13,7.338,2.412,0.013,1647.92,1239.974
408.391,7.33,2.411,0.013,1646.815,1239.511
409.647,7.322,2.409,0.013,1645.674,1239.046
410.899,7.314,2.407,0.013,1644.491,1238.58
412.145,7.306,2.406,0.013,1643.253,1238.114
413.386,7.298,2.404,0.013,1641.978,1237.646
414.623,7.29,2.402,0.013,1640.668,1237.178
415.854,7.282,2.4,0.013,1639.326,1236.708
417.08,7.274,2.399,0.013,1637.947,1236.237
418.301,7.266,2.397,0.013,1636.535,1235.766
419.516,7.258,2.395,0.013,1635.086,1235.293
420.727,7.25,2.393,0.013,1633.591,1234.819
421.931,7.243,2.392,0.013,1632.048,1234.357
423.13,7.237,2.39,0.013,1630.472,1233.985
424.322,7.23,2.389,0.013,1628.861,1233.613
425.507,7.224,2.388,0.013,1627.218,1233.239
426.686,7.218,2.386,0.013,1625.542,1232.865
427.857,7.212,2.385,0.013,1623.835,1232.491
429.022,7.206,2.383,0.013,1622.095,1232.115
430.178,7.199,2.382,0.013,1620.313,1231.739
431.328,7.193,2.381,0.013,1618.492,1231.363
432.471,7.187,2.379,0.013,1616.637,1230.986
433.606,7.181,2.378,0.013,1614.753,1230.608
434.733,7.175,2.377,0.013,1612.842,1230.229
435.853,7.168,2.375,0.013,1610.902,1229.85
436.965,7.162,2.374,0.013,1608.934,1229.47
438.069,7.156,2.372,0.013,1606.936,1229.09
439.166,7.15,2.371,0.013,1604.906,1228.708
440.255,7.144,2.37,0.013,1602.842,1228.327
441.337,7.137,2.368,0.013,1600.751,1227.944
442.411,7.131,2.367,0.013,1598.633,1227.561
443.477,7.125,2.365,0.013,1596.493,1227.177
444.535,7.119,2.364,0.013,1594.332,1226.793
445.586,7.113,2.362,0.013,1592.148,1226.407
446.63,7.106,2.361,0.013,1589.941,1226.022
447.665,7.1,2.36,0.013,1587.706,1225.635
448.693,7.094,2.358,0.013,1585.445,1225.248
449.714,7.088,2.357,0.013,1583.167,1224.86
450.727,7.082,2.355,0.013,1580.87,1224.471
451.732,7.075,2.354,0.013,1578.561,1224.082
452.729,7.069,2.352,0.013,1576.234,1223.692
453.719,7.063,2.351,0.013,1573.897,1223.302
454.701,7.057,2.35,0.013,1571.545,1222.911
455.676,7.051,2.348,0.013,1569.178,1222.519
456.643,7.044,2.347,0.013,1566.792,1222.126
457.603,7.038,2.345,0.013,1564.399,1221.733
458.554,7.032,2.344,0.013,1561.998,1221.339
459.499,7.026,2.342,0.013,1559.593,1220.944
460.435,7.02,2.341,0.013,1557.184,1220.548
461.364,7.013,2.34,0.013,1554.772,1220.152
462.286,7.007,2.338,0.013,1552.362,1219.755
463.199,7.001,2.337,0.013,1549.949,1219.358
464.106,6.995,2.335,0.013,1547.528,1218.96
465.004,6.989,2.334,0.013,1545.111,1218.561
465.895,6.983,2.332,0.013,1542.7,1218.161
466.779,6.976,2.331,0.013,1540.3,1217.761
467.654,6.97,2.329,0.013,1537.909,1217.36
468.523,6.964,2.328,0.013,1535.53,1216.958
469.383,6.958,2.326,0.013,1533.164,1216.555
470.236,6.952,2.325,0.013,1530.812,1216.152
471.082,6.945,2.323,0.013,1528.475,1215.748
471.92,6.939,2.322,0.013,1526.15,1215.344
472.75,6.933,2.32,0.013,1523.842,1214.938
473.573,6.927,2.319,0.013,1521.556,1214.532
474.388,6.921,2.318,0.013,1519.296,1214.125
475.196,6.914,2.316,0.013,1517.062,1213.718
475.996,6.908,2.315,0.013,1514.86,1213.309
476.788,6.902,2.313,0.013,1512.683,1212.9
477.573,6.896,2.312,0.013,1510.538,1212.491
478.351,6.89,2.31,0.013,1508.422,1212.08
479.121,6.883,2.309,0.013,1506.335,1211.671
479.881,6.878,2.307,0.013,1504.287,1211.319
480.631,6.873,2.306,0.013,1502.286,1210.967
481.37,6.868,2.305,0.013,1500.333,1210.614
482.098,6.862,2.303,0.013,1498.431,1210.261
482.815,6.857,2.302,0.013,1496.582,1209.907
483.521,6.852,2.301,0.013,1494.783,1209.553
484.216,6.846,2.3,0.013,1493.037,1209.198
